Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
CA181649,CONTAINER COMPACT 8P,MACS,1,1,1,"6,000000000","0,000000000","557,940000000000000000","0,000000000000000000","0,000","557,94",
CA182203,CAJA MADERA BALSA PEQ,MATB,1,1,1,"58,000000000","58,000000000","1703,460000000000000000","0,000000000000000000","0,000","1703,46",
CA182205,CAJA MADERA BALSA MEDIANA,MATB,1,1,1,"30,000000000","0,000000000","1334,700000000000000000","0,000000000000000000","0,000","1334,70",
CA191670,BOTELLA 18l BALSA ORIL 65PL,EXTI,1,1,1,"4,000000000","0,000000000","516,680000000000000000","0,000000000000000000","0,000","516,68",
CA221682,MOTOR 25ML MERCURY SOLAS,B420,1,1,1,"1,000000000","1,000000000","3500,000000000000000000","0,000000000000000000","0,000","3500,00",
CA221686,LONA DE FONDEO BOTE RESCATE 392 RB,B420,1,1,1,"1,000000000","1,000000000","250,000000000000000000","0,000000000000000000","0,000","250,00",
CA232264,COHETE LANZACABOS COMET/PAINS WESSEX 250 LTA,PIRO,1,6,6,"20,000000000","16,000000000","3822,960000000000000000","0,000000000000000000","0,000","3822,96",
CA232265,LUZ CHALECO AUTOMÁTICA DAN W4-A,MATC,1,2,2,"350,000000000","350,000000000","1940,000000000000000000","0,000000000000000000","0,000","1940,00",
CB080147,HRU OCEAN SIGNAL EPIRB3,MATR,1,1,1,"10,000000000","10,000000000","708,200000000000000000","0,000000000000000000","0,000","708,20",
CB080154,HRU ACR HIDROFIX,MATR,1,3,3,"45,000000000","40,000000000","3283,950000000000000000","67,310000000000000000","2,050","3216,64",
CBALAC006R,BALSA DUARRY COMPACT 6 PL. SOLAS PAQ.A.,COMP,1,1,1,"6,000000000","0,000000000","4608,000000000000000000","0,000000000000000000","0,000","4608,00",
CBALAC008R,BALSA DUARRY COMPACT 8 PL. SOLAS PAQ.A.,COMP,1,1,1,"6,000000000","0,000000000","5053,920000000000000000","0,000000000000000000","0,000","5053,92",
CBALAC010R,BALSA DUARRY COMPACT 10 PL. SOLAS PAQ.A.,COMP,1,1,1,"12,000000000","0,000000000","10128,000000000000000000","0,000000000000000000","0,000","10128,00",
CBALAC012R,BALSA DUARRY COMPACT 12 PL. SOLAS PAQ.A.,COMP,1,1,1,"12,000000000","0,000000000","12024,000000000000000000","0,000000000000000000","0,000","12024,00",
CBALAL008C,BALSA DUARRY 8 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,2,3,"20,000000000","2,000000000","12798,200000000000000000","0,000000000000000000","0,000","12798,20",
CBALAL008SC,BALSA DUARRY 8 PL SOLAS TOB PAQ.A SIN CONTAINER,LANZ,1,2,2,"14,000000000","0,000000000","7924,180000000000000000","0,000000000000000000","0,000","7924,18",
CBALAL010C,BALSA DUARRY 10 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,2,5,"14,000000000","4,000000000","9949,100000000000000000","0,000000000000000000","0,000","9949,10",
CBALAL010SC,BALSA DUARRY 10 PL SOLAS TOB PAQ.A SIN CONTAINER,LANZ,1,1,1,"8,000000000","0,000000000","4923,040000000000000000","0,000000000000000000","0,000","4923,04",
CBALAL012C,BALSA DUARRY 12 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,2,2,"15,000000000","0,000000000","11493,150000000000000000","0,000000000000000000","0,000","11493,15",
CBALAL012SC,BALSA DUARRY 12 PL SOLAS TOB PAQ.A SIN CONTAINER,LANZ,1,1,1,"8,000000000","0,000000000","5405,040000000000000000","0,000000000000000000","0,000","5405,04",
CBALAL016C,BALSA DUARRY 16 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,5,6,"25,000000000","2,000000000","21611,250000000000000000","0,000000000000000000","0,000","21611,25",
CBALAL020C,BALSA DUARRY 20 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,1,1,"8,000000000","0,000000000","7407,520000000000000000","0,000000000000000000","0,000","7407,52",
CBALAL025C,BALSA DUARRY 25 PL SOLAS TOB PAQ.A  C.C.,LANZ,1,1,21,"40,000000000","20,000000000","47653,680000000000000000","0,000000000000000000","0,000","47653,68",
CBALAR050C,BALSA DUARRY 50 PL SOLAS REV. C.C.,REVE,1,1,1,"6,000000000","0,000000000","9412,680000000000000000","0,000000000000000000","0,000","9412,68",
CBALAR065C,BALSA DUARRY 65 PL SOLAS REV. C.C.,REVE,1,1,4,"4,000000000","4,000000000","6492,510000000000000000","0,000000000000000000","0,000","6492,51",
CBALAR100C,BALSA DUARRY 100 PL SOLAS REV. C.C.,REVE,1,1,1,"2,000000000","0,000000000","7378,660000000000000000","0,000000000000000000","0,000","7378,66",
D-104,Cilindro 4 L 25E PI ISO DYNAMIC,EXTI,1,1,1,"2,000000000","0,000000000","206,600000000000000000","0,000000000000000000","0,000","206,60",
D-106,Cilindro 5 L 25E PI ISO DYNAMIC,EXTI,1,1,1,"1,000000000","0,000000000","123,300000000000000000","0,000000000000000000","0,000","123,30",
D-108,Cilindro 6 L 25E PI ISO DYNAMIC,EXTI,1,1,1,"2,000000000","0,000000000","216,460000000000000000","0,000000000000000000","0,000","216,46",
D-12,Asas container ISO Dynamic,MACI,1,1,1,"20,000000000","20,000000000","36,600000000000000000","0,000000000000000000","0,000","36,60",
D-122,Container ISO Dynamic Parte inferior  B3,MACI,1,1,1,"12,000000000","12,000000000","852,000000000000000000","0,000000000000000000","0,000","852,00",
D-127,CONTAINER ISO DYNAMICS Y6,MACI,1,1,1,"6,000000000","6,000000000","462,360000000000000000","0,000000000000000000","0,000","462,36",
D-128,Grab Bag DUARRY ISO Dynamic 30 Lt. Vacío.,MATB,1,1,1,"10,000000000","0,000000000","1050,000000000000000000","0,000000000000000000","0,000","1050,00",
D-17,Goma Junta container ISO Dynamic (1 m),MATB,1,1,1,"28,000000000","28,000000000","89,600000000000000000","0,000000000000000000","0,000","89,60",
