Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
CA151032,"KH-PIEZA GOMA PROTECCION MANGUERA ""Y""",MATV,1,1,1,"15,000000000","0,000000000","45,000000000000000000","0,000000000000000000","0,000","45,00",
CA151039,KH-TUBO DE PEGAMENTO,MATB,1,1,1,"10,000000000","10,000000000","18,000000000000000000","0,000000000000000000","0,000","18,00",
CA151068,SOPORTE BALSA INCLINADO ABATIBLE PEQUEÑO,MASO,1,1,1,"2,000000000","2,000000000","166,820000000000000000","0,000000000000000000","0,000","166,82",
CA151069,SOPORTE BALSA INCLINADO ABATIBLE GRANDE,MASO,1,1,1,"2,000000000","2,000000000","481,920000000000000000","0,000000000000000000","0,000","481,92",
CA151153,GRAPA FLEJAR PRECINTO PLASTICO CONTAINER,MATB,1,5,5,"1400,000000000","1400,000000000","15,518600000000000000","-0,011400000000000000","-0,072","15,53",
CA151162,PRECINTO PLASTICO CONT. BALSA 5500 NEW(MT.),MATB,1,1,1,"1,000000000","1,000000000","0,090000000000000000","0,000000000000000000","0,000","0,09",
CA151282,"CINTA AISLANTE NEGRA, 20x19 r.20 m.",MATB,1,1,1,"1,000000000","1,000000000","1,000000000000000000","0,000000000000000000","0,000","1,00",
CA152256,KH-MANGUERA P JUNTAS,MATV,1,1,1,"15,000000000","0,000000000","219,600000000000000000","0,000000000000000000","0,000","219,60",
CA152306,TRAJE SUPERVIV. ATLANTICO-2 SOLAS 2010 L,MATB,1,5,5,"17,000000000","17,000000000","3026,170000000000000000","354,640000000000000000","11,719","2671,53",
ca152367,CHALECO PORT 150N AUTO-ARNES PVC NEO ,CHAL,1,1,1,"15,000000000","15,000000000","2363,100000000000000000","827,080000000000000000","35,000","1536,02",
CA152368,CHALECO ISO 150N BALTIC BREEZE - ARNÉS+PERNERA,CHAL,1,2,2,"30,000000000","20,000000000","1710,000000000000000000","0,000000000000000000","0,000","1710,00",
CA161445,ABRAZADERA NYLON 6.6 140X3.6 NEGRA,MATB,1,1,1,"100,000000000","100,000000000","235,000000000000000000","0,000000000000000000","0,000","235,00",
CA161447,KH-VALVULA ANTIRRETORNO ENTRADA CO2N2 ,MATB,1,1,1,"10,000000000","0,000000000","180,000000000000000000","0,000000000000000000","0,000","180,00",
CA161449,KH-TAPON DE VALVULA DESHINCHADO,MATB,1,1,1,"10,000000000","0,000000000","58,600000000000000000","0,000000000000000000","0,000","58,60",
CA161452,THANNER TYPE D RELEASE DIAPHRAGM,MATB,1,1,1,"100,000000000","0,000000000","1400,000000000000000000","0,000000000000000000","0,000","1400,00",
