Semana,Almacen,Producto,Cantidad
2021-04-12,ALM,B011702,8.0
2021-04-19,ALM,B011702,8.0
2021-05-31,ALM,B011702,4.0
2021-11-01,ALM,B011702,8.0
2021-01-11,ALM,B011703,1.0
2021-03-01,ALM,B011703,1.0
2021-04-12,ALM,B011703,3.0
2021-04-19,ALM,B011703,1.0
2021-04-26,ALM,B011703,1.0
2021-05-10,ALM,B011703,3.0
2021-05-10,ALM,B011703,2.0
2021-11-29,ALM,B011703,1.0
2021-11-29,ALM,B011703,1.0
2021-01-11,ALM,B011704,1.0
2021-05-10,ALM,B011704,1.0
2021-05-10,ALM,B011704,2.0
2021-05-31,ALM,B011704,1.0
2021-08-09,ALM,B011704,1.0
2021-11-29,ALM,B011704,1.0
2021-11-29,ALM,B011704,1.0
2021-01-11,ALM,B011705,2.0
2021-05-10,ALM,B011705,4.0
2021-08-09,ALM,B011705,2.0
2021-11-15,ALM,B011705,2.0
2021-01-11,ALM,B011706,4.0
2021-03-01,ALM,B011706,2.0
2021-04-12,ALM,B011706,2.0
2021-04-26,ALM,B011706,1.0
2021-05-10,ALM,B011706,8.0
2021-06-14,ALM,B011706,1.0
2021-08-09,ALM,B011706,1.0
2021-11-15,ALM,B011706,4.0
2021-03-01,ALM,B011707,4.0
2021-05-10,ALM,B011707,2.0
2021-06-07,ALM,B011707,1.0
2021-06-14,ALM,B011707,1.0
2021-11-01,ALM,B011707,1.0
2021-11-15,ALM,B011707,1.0
2021-11-29,ALM,B011707,1.0
2021-11-29,ALM,B011707,1.0
2021-05-10,ALM,B011708,1.0
2021-11-01,ALM,B011708,1.0
2021-11-29,ALM,B011708,1.0
2021-11-29,ALM,B011709,1.0
2021-04-19,ALM,B011710,1.0
2021-05-31,ALM,B011710,4.0
2021-03-01,ALM,B011711,1.0
2021-08-09,ALM,B011711,1.0
2021-02-15,ALM,B011712,6.0
2021-02-22,164,B011712,1.0
2021-04-05,ALM,B011712,1.0
2021-04-12,ALM,B011712,2.0
2021-04-26,ALM,B011712,1.0
2021-05-10,ALM,B011712,1.0
2021-05-10,ALM,B011712,2.0
2021-05-10,ALM,B011712,3.0
2021-05-10,ALM,B011712,1.0
2021-07-19,ALM,B011712,2.0
2021-08-09,ALM,B011712,1.0
2021-10-04,ALM,B011712,6.0
2021-05-10,ALM,B011713,3.0
2021-05-10,ALM,B011713,1.0
2021-08-09,ALM,B011713,1.0
2021-11-15,ALM,B011713,1.0
2021-03-01,ALM,B011726,2.0
2021-04-19,ALM,B011727,1.0
2021-05-03,ALM,B011727,2.0
2021-06-14,ALM,B011727,1.0
2021-07-12,ALM,B011727,1.0
2021-10-25,ALM,B011727,1.0
2021-12-20,ALM,B011727,2.0
2021-03-15,ALM,B011729,2.0
2021-04-26,ALM,B011729,1.0
2021-10-18,ALM,B011729,1.0
2021-01-04,019,B011730,2.0
2021-01-18,ALM,B011730,3.0
2021-01-18,ALM,B011730,8.0
2021-01-18,ALM,B011730,3.0
2021-01-25,ALM,B011730,2.0
2021-01-25,ALM,B011730,10.0
2021-01-25,ALM,B011730,1.0
2021-02-01,ALM,B011730,1.0
2021-02-01,ALM,B011730,10.0
2021-02-08,ALM,B011730,7.0
2021-02-15,ALM,B011730,19.0
2021-02-15,ALM,B011730,1.0
2021-02-22,ALM,B011730,10.0
2021-02-22,ALM,B011730,1.0
2021-02-22,ALM,B011730,1.0
2021-03-01,ALM,B011730,23.0
2021-03-01,ALM,B011730,62.0
2021-03-01,ALM,B011730,5.0
2021-03-08,018,B011730,13.0
2021-03-08,ALM,B011730,7.0
2021-03-15,ALM,B011730,6.0
2021-03-22,ALM,B011730,24.0
2021-03-22,ALM,B011730,4.0
2021-03-22,ALM,B011730,2.0
2021-03-22,ALM,B011730,20.0
2021-03-29,ALM,B011730,62.0
2021-04-05,ALM,B011730,1.0
2021-04-05,ALM,B011730,4.0
2021-04-05,ALM,B011730,2.0
2021-04-12,ALM,B011730,8.0
2021-04-12,ALM,B011730,3.0
2021-04-12,ALM,B011730,18.0
2021-04-12,018,B011730,13.0
2021-04-19,ALM,B011730,3.0
2021-04-19,223,B011730,4.0
2021-04-19,ALM,B011730,1.0
2021-04-19,ALM,B011730,26.0
2021-04-26,ALM,B011730,8.0
