"Almacén";"Artíc. stockable";"Cod. Artículo";"Cod. Antiguo";"Descrip. Producto";"Stock unidades";"Coste teórico Euros";"P.U.C.";"P.M.P.";"Invent. PUC";"Invent. PMP";"Unids Pdte entrar";"Unids Pdte salir";"Disponible (St+pE-pS)";
"ALM";"si";"CA150448";"A-003";"ETIQUETA ARIMAR 20X 7CM";-3,000000000;1,275000000;0,000000000;1,130000000;0,000000000;-3,390000000;0,00000000;20,00000000;-23,000000000;
"ALM";"si";"CA150449";"A-004";"KIT CONEXION CABEZA/DISPARO";-3,000000000;3,833000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150450";"A-005";"ETIQUETA CONTENEDOR FLAT";-4,000000000;7,235000000;0,000000000;7,235385000;0,000000000;-28,941540000;0,00000000;0,00000000;-4,000000000;
"123";"si";"CA150450";"A-005";"ETIQUETA CONTENEDOR FLAT";-24,000000000;7,235000000;0,000000000;7,235000000;0,000000000;-173,640000000;0,00000000;0,00000000;-24,000000000;
"223";"si";"CA150450";"A-005";"ETIQUETA CONTENEDOR FLAT";-4,000000000;7,235000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"ALM";"si";"CA150450";"A-005";"ETIQUETA CONTENEDOR FLAT";-3,000000000;7,235000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"123";"si";"CA150451";"A-006";"ETIQUETA CONTENEDOR ROLL";-3,000000000;7,235000000;0,000000000;7,235000000;0,000000000;-21,705000000;0,00000000;0,00000000;-3,000000000;
"223";"si";"CA150451";"A-006";"ETIQUETA CONTENEDOR ROLL";-1,000000000;7,235000000;0,000000000;7,235000000;0,000000000;-7,235000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150451";"A-006";"ETIQUETA CONTENEDOR ROLL";-3,000000000;7,235000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150452";"A-007";"LUZ INTERNA CON BATERIA SOLAS";10,000000000;45,100000000;0,000000000;45,100000000;0,000000000;451,000000000;0,00000000;0,00000000;10,000000000;
"123";"si";"CA150452";"A-007";"LUZ INTERNA CON BATERIA SOLAS";-5,000000000;45,100000000;0,000000000;45,100000000;0,000000000;-225,500000000;0,00000000;0,00000000;-5,000000000;
"223";"si";"CA150452";"A-007";"LUZ INTERNA CON BATERIA SOLAS";-4,000000000;45,100000000;0,000000000;45,100000000;0,000000000;-180,400000000;0,00000000;0,00000000;-4,000000000;
"ALM";"si";"CA150452";"A-007";"LUZ INTERNA CON BATERIA SOLAS";-3,000000000;45,100000000;0,000000000;39,820000000;0,000000000;-119,460000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150453";"A-008";"LUZ EXTERNA CON BATERIA SOLAS";10,000000000;13,600000000;0,000000000;13,600000000;0,000000000;136,000000000;0,00000000;0,00000000;10,000000000;
"123";"si";"CA150453";"A-008";"LUZ EXTERNA CON BATERIA SOLAS";-5,000000000;13,600000000;0,000000000;13,600000000;0,000000000;-68,000000000;0,00000000;0,00000000;-5,000000000;
"223";"si";"CA150453";"A-008";"LUZ EXTERNA CON BATERIA SOLAS";-4,000000000;13,600000000;0,000000000;13,600000000;0,000000000;-54,400000000;0,00000000;0,00000000;-4,000000000;
"ALM";"si";"CA150453";"A-008";"LUZ EXTERNA CON BATERIA SOLAS";-6,000000000;13,600000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-6,000000000;
"023";"si";"CA150454";"A-009";"ABRAZADERA PARA SISTEMAS LUCES (100UD)";-27,000000000;17,000000000;0,000000000;17,000000000;0,000000000;-459,000000000;0,00000000;0,00000000;-27,000000000;
"123";"si";"CA150454";"A-009";"ABRAZADERA PARA SISTEMAS LUCES (100UD)";-32,000000000;17,000000000;0,000000000;17,000000000;0,000000000;-544,000000000;0,00000000;0,00000000;-32,000000000;
"223";"si";"CA150454";"A-009";"ABRAZADERA PARA SISTEMAS LUCES (100UD)";-27,000000000;17,000000000;0,000000000;17,000000000;0,000000000;-459,000000000;0,00000000;0,00000000;-27,000000000;
"023";"si";"CA150455";"A-010";"SACO ESTANCO CIERRE VACIO 130X150";-1,000000000;8,010000000;0,000000000;8,010000000;0,000000000;-8,010000000;0,00000000;0,00000000;-1,000000000;
"123";"si";"CA150455";"A-010";"SACO ESTANCO CIERRE VACIO 130X150";-14,000000000;8,010000000;0,000000000;8,010000000;0,000000000;-112,140000000;0,00000000;0,00000000;-14,000000000;
"223";"si";"CA150455";"A-010";"SACO ESTANCO CIERRE VACIO 130X150";-11,000000000;8,010000000;0,000000000;8,010000000;0,000000000;-88,110000000;0,00000000;0,00000000;-11,000000000;
"ALM";"si";"CA150455";"A-010";"SACO ESTANCO CIERRE VACIO 130X150";-3,000000000;8,010000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150456";"A-011";"SACO ESTANCO CIERRE VACIO 11220X135";23,000000000;10,550000000;0,000000000;10,550000000;0,000000000;242,650000000;0,00000000;0,00000000;23,000000000;
"123";"si";"CA150456";"A-011";"SACO ESTANCO CIERRE VACIO 11220X135";-15,000000000;10,550000000;0,000000000;12,057143000;0,000000000;-180,857145000;0,00000000;0,00000000;-15,000000000;
"223";"si";"CA150456";"A-011";"SACO ESTANCO CIERRE VACIO 11220X135";-1,000000000;10,550000000;0,000000000;10,550000000;0,000000000;-10,550000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150456";"A-011";"SACO ESTANCO CIERRE VACIO 11220X135";-3,000000000;10,550000000;0,000000000;9,320000000;0,000000000;-27,960000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150457";"A-012";"PROTECTOR CABEZA DISPARO";5,000000000;9,350000000;0,000000000;9,350000000;0,000000000;46,750000000;0,00000000;0,00000000;5,000000000;
"023";"si";"CA150458";"A-013";"ARANDELA COBRE 10X16X1,5 PACK 100UND";150,000000000;12,750000000;0,000000000;12,750000000;0,000000000;1912,500000000;0,00000000;0,00000000;150,000000000;
"123";"si";"CA150458";"A-013";"ARANDELA COBRE 10X16X1,5 PACK 100UND";-60,000000000;12,750000000;0,000000000;12,750000000;0,000000000;-765,000000000;0,00000000;0,00000000;-60,000000000;
"223";"si";"CA150458";"A-013";"ARANDELA COBRE 10X16X1,5 PACK 100UND";-48,000000000;12,750000000;0,000000000;12,750000000;0,000000000;-612,000000000;0,00000000;0,00000000;-48,000000000;
"ALM";"si";"CA150458";"A-013";"ARANDELA COBRE 10X16X1,5 PACK 100UND";-3,000000000;12,750000000;0,000000000;11,260000000;0,000000000;-33,780000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150459";"A-014";"ARANDELA PVC CABEZA DISPARO";9,000000000;0,430000000;0,000000000;0,430000000;0,000000000;3,870000000;0,00000000;0,00000000;9,000000000;
"123";"si";"CA150459";"A-014";"ARANDELA PVC CABEZA DISPARO";-1,000000000;0,430000000;0,000000000;0,430000000;0,000000000;-0,430000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150459";"A-014";"ARANDELA PVC CABEZA DISPARO";-3,000000000;0,430000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"123";"si";"CA150460";"A-015";"VALVULA CABEZA DISPARO";-1,000000000;5,160000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"019";"si";"CA150461";"A-016";"ETIQUETA DATOS BOTELLA PACK 100UND";-4,000000000;0,220000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"023";"si";"CA150461";"A-016";"ETIQUETA DATOS BOTELLA PACK 100UND";23,000000000;0,220000000;0,000000000;0,220000000;0,000000000;5,060000000;0,00000000;0,00000000;23,000000000;
"123";"si";"CA150461";"A-016";"ETIQUETA DATOS BOTELLA PACK 100UND";-12,000000000;0,220000000;0,000000000;0,230000000;0,000000000;-2,760000000;0,00000000;0,00000000;-12,000000000;
"223";"si";"CA150461";"A-016";"ETIQUETA DATOS BOTELLA PACK 100UND";-8,000000000;0,220000000;0,000000000;0,220000000;0,000000000;-1,760000000;0,00000000;0,00000000;-8,000000000;
"ALM";"si";"CA150461";"A-016";"ETIQUETA DATOS BOTELLA PACK 100UND";-3,000000000;0,220000000;0,000000000;0,190000000;0,000000000;-0,570000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150462";"A-017";"JUEGO REPARACION BALSAS";3,000000000;2,590000000;0,000000000;2,590000000;0,000000000;7,770000000;0,00000000;0,00000000;3,000000000;
"123";"si";"CA150462";"A-017";"JUEGO REPARACION BALSAS";-2,000000000;2,590000000;0,000000000;2,590000000;0,000000000;-5,180000000;0,00000000;0,00000000;-2,000000000;
"223";"si";"CA150462";"A-017";"JUEGO REPARACION BALSAS";-1,000000000;2,590000000;0,000000000;2,590000000;0,000000000;-2,590000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150462";"A-017";"JUEGO REPARACION BALSAS";-3,000000000;2,590000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150463";"A-018";"ETIQUETA OPEN SEA N/S BALSA";3,000000000;5,530000000;0,000000000;5,530000000;0,000000000;16,590000000;0,00000000;0,00000000;3,000000000;
"123";"si";"CA150463";"A-018";"ETIQUETA OPEN SEA N/S BALSA";-1,000000000;5,530000000;0,000000000;5,530000000;0,000000000;-5,530000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150463";"A-018";"ETIQUETA OPEN SEA N/S BALSA";-3,000000000;5,530000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"223";"si";"CA150464";"A-019";"ETIQUETA PROCEDIMIENTO VISUAL";-2,000000000;1,700000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-2,000000000;
"ALM";"si";"CA150464";"A-019";"ETIQUETA PROCEDIMIENTO VISUAL";-3,000000000;1,700000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150465";"A-020";"ABRAZADERA CONEXION BOZA-CABEZA DISPARO";106,000000000;0,510000000;0,000000000;0,510000000;0,000000000;54,060000000;0,00000000;0,00000000;106,000000000;
"123";"si";"CA150465";"A-020";"ABRAZADERA CONEXION BOZA-CABEZA DISPARO";-30,000000000;0,510000000;0,000000000;0,512656000;0,000000000;-15,379680000;0,00000000;0,00000000;-30,000000000;
"223";"si";"CA150465";"A-020";"ABRAZADERA CONEXION BOZA-CABEZA DISPARO";-12,000000000;0,510000000;0,000000000;0,510000000;0,000000000;-6,120000000;0,00000000;0,00000000;-12,000000000;
"ALM";"si";"CA150465";"A-020";"ABRAZADERA CONEXION BOZA-CABEZA DISPARO";-3,000000000;0,510000000;0,000000000;0,450000000;0,000000000;-1,350000000;0,00000000;0,00000000;-3,000000000;
"023";"si";"CA150466";"A-021";"PEGAMENTO MONO COMPONENTE KIT REPARACION";-3,000000000;2,550000000;0,000000000;2,550000000;0,000000000;-7,650000000;0,00000000;0,00000000;-3,000000000;
"123";"si";"CA150466";"A-021";"PEGAMENTO MONO COMPONENTE KIT REPARACION";-13,000000000;2,550000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-13,000000000;
"223";"si";"CA150466";"A-021";"PEGAMENTO MONO COMPONENTE KIT REPARACION";-4,000000000;2,550000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"ALM";"si";"CA150466";"A-021";"PEGAMENTO MONO COMPONENTE KIT REPARACION";-4,000000000;2,550000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"032";"si";"CA150467";"A-022";"VALVULA PARA HINCHAR";2,000000000;80,750000000;0,000000000;5,000000000;0,000000000;10,000000000;0,00000000;0,00000000;2,000000000;
"028";"si";"CA150474";"BOT-12KH";"KH-BOT.CO2N2 12 PRS 5 L.";2,000000000;78,400000000;0,000000000;78,400000000;0,000000000;156,800000000;0,00000000;0,00000000;2,000000000;
"ALM";"si";"CA150474";"BOT-12KH";"KH-BOT.CO2N2 12 PRS 5 L.";-2,000000000;78,400000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-2,000000000;
"003";"si";"CA150554";"E-1/50";"ANCLA DE CAPA 50 CONICA 50CM.";1,000000000;93,200000000;0,000000000;57,270000000;0,000000000;57,270000000;0,00000000;0,00000000;1,000000000;
"ALM";"si";"CA150554";"E-1/50";"ANCLA DE CAPA 50 CONICA 50CM.";79,000000000;93,200000000;10,670000000;57,269625000;842,930000000;4524,300375000;0,00000000;0,00000000;79,000000000;
"018";"si";"CA150564";"E-112L";"KH-BATERIA DE LITIO REVER. (LED)";-28,000000000;52,500000000;24,350000000;43,170000000;-681,800000000;-1208,760000000;0,00000000;0,00000000;-28,000000000;
"026";"si";"CA150564";"E-112L";"KH-BATERIA DE LITIO REVER. (LED)";-4,000000000;52,500000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-4,000000000;
"028";"si";"CA150564";"E-112L";"KH-BATERIA DE LITIO REVER. (LED)";-1,000000000;52,500000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"032";"si";"CA150564";"E-112L";"KH-BATERIA DE LITIO REVER. (LED)";-1,000000000;52,500000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150564";"E-112L";"KH-BATERIA DE LITIO REVER. (LED)";-79,000000000;52,500000000;24,350000000;24,350000000;-1923,650000000;-1923,650000000;0,00000000;3,00000000;-82,000000000;
"028";"si";"CA150580";"E-124";"PALET 120 x80 USADO CALID.SEMI-EUROPEO";5,000000000;4,500000000;0,000000000;4,500000000;0,000000000;22,500000000;0,00000000;0,00000000;5,000000000;
"ALM";"si";"CA150580";"E-124";"PALET 120 x80 USADO CALID.SEMI-EUROPEO";-5,000000000;4,500000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-5,000000000;
"028";"si";"CA150617";"E-160";"CLIP DEL CABLE (DEPORTIVA)";15,000000000;2,330000000;0,000000000;2,330000000;0,000000000;34,950000000;0,00000000;0,00000000;15,000000000;
"030";"si";"CA150617";"E-160";"CLIP DEL CABLE (DEPORTIVA)";10,000000000;2,330000000;2,330000000;2,330000000;23,300000000;23,300000000;0,00000000;0,00000000;10,000000000;
"202";"si";"CA150617";"E-160";"CLIP DEL CABLE (DEPORTIVA)";4,000000000;2,330000000;0,000000000;2,330000000;0,000000000;9,320000000;0,00000000;0,00000000;4,000000000;
"ALM";"si";"CA150617";"E-160";"CLIP DEL CABLE (DEPORTIVA)";165,000000000;2,330000000;0,000000000;2,330000000;0,000000000;384,450000000;15,00000000;0,00000000;180,000000000;
"TES";"si";"CA150617";"E-160";"CLIP DEL CABLE (DEPORTIVA)";15,000000000;2,330000000;0,000000000;2,330000000;0,000000000;34,950000000;0,00000000;0,00000000;15,000000000;
"ALM";"si";"CA150621";"E-164";"CINTA ADH.P.P. ALTA CALIDAD MARRON";72,000000000;1,220000000;8,450000000;7,401111110;608,400000000;532,879999920;0,00000000;0,00000000;72,000000000;
"ALM";"si";"CA150622";"E-165";"CINTA ADH.P.P. ALTA CALIDAD TRANSPARENTE";52,000000000;1,290000000;1,000000000;1,855384620;52,000000000;96,480000240;0,00000000;0,00000000;52,000000000;
"ALM";"si";"CA150635";"E-177";"SOPORTE ARO SALVAVIDAS";-3,000000000;40,600000000;26,676000000;26,676000000;-80,028000000;-80,028000000;0,00000000;0,00000000;-3,000000000;
"003";"si";"CA150636";"E-178";"CINTA REFLECTIVA (EURO/METRO)";2,000000000;5,950000000;5,950000000;5,950000000;11,900000000;11,900000000;1,00000000;0,00000000;3,000000000;
"ALM";"si";"CA150636";"E-178";"CINTA REFLECTIVA (EURO/METRO)";38,000000000;5,950000000;60,000000000;12,706250000;2280,000000000;482,837500000;0,00000000;1,00000000;37,000000000;
"003";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";44,000000000;5,580000000;1,586500000;1,601071430;69,806000000;70,447142920;0,00000000;0,00000000;44,000000000;
"018";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";6,000000000;5,580000000;1,940000000;1,680000000;11,640000000;10,080000000;0,00000000;0,00000000;6,000000000;
"019";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";34,000000000;5,580000000;0,000000000;1,586539000;0,000000000;53,942326000;0,00000000;0,00000000;34,000000000;
"023";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";17,000000000;5,580000000;0,990000000;0,990000000;16,830000000;16,830000000;20,00000000;0,00000000;37,000000000;
"025";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";-13,000000000;5,580000000;1,586500000;1,586512000;-20,624500000;-20,624656000;0,00000000;0,00000000;-13,000000000;
"026";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";-6,000000000;5,580000000;1,940000000;1,111250000;-11,640000000;-6,667500000;0,00000000;0,00000000;-6,000000000;
"028";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";-3,000000000;5,580000000;0,990000000;1,173702000;-2,970000000;-3,521106000;0,00000000;0,00000000;-3,000000000;
"030";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";14,000000000;5,580000000;0,959000000;1,680000000;13,426000000;23,520000000;0,00000000;0,00000000;14,000000000;
"032";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";10,000000000;5,580000000;0,000000000;1,680000000;0,000000000;16,800000000;0,00000000;0,00000000;10,000000000;
"124";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";-2,000000000;5,580000000;0,000000000;0,990000000;0,000000000;-1,980000000;0,00000000;0,00000000;-2,000000000;
"ALM";"si";"CA150638";"E-18";"PILA DE LINTERNA 1,5V. (BALSAS DUARRY)";255,000000000;5,580000000;2,394000000;1,919814960;610,470000000;489,552814800;100,00000000;20,00000000;335,000000000;
"ALM";"si";"CA150652";"E-195";"FILM EXTENS.MANUAL NEGR.300MX500MM 20 MIC";60,000000000;17,500000000;9,470000000;8,220000000;568,200000000;493,200000000;0,00000000;0,00000000;60,000000000;
"018";"si";"CA150656";"E-199";"KH-SACO VACIO PAQ. A O B 8-10PL.";4,000000000;9,410000000;6,700000000;7,170000000;26,800000000;28,680000000;0,00000000;0,00000000;4,000000000;
"026";"si";"CA150656";"E-199";"KH-SACO VACIO PAQ. A O B 8-10PL.";-1,000000000;9,410000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"028";"si";"CA150656";"E-199";"KH-SACO VACIO PAQ. A O B 8-10PL.";10,000000000;9,410000000;6,700000000;6,960000000;67,000000000;69,600000000;0,00000000;0,00000000;10,000000000;
"ALM";"si";"CA150656";"E-199";"KH-SACO VACIO PAQ. A O B 8-10PL.";150,000000000;9,410000000;6,700000000;6,873742700;1005,000000000;1031,061405000;60,00000000;0,00000000;210,000000000;
"011";"si";"CA150658";"E-20";"ETIQ.PAPEL TABLA SEÑALES ESP.";5,000000000;0,700000000;0,000000000;0,700000000;0,000000000;3,500000000;0,00000000;0,00000000;5,000000000;
"202";"si";"CA150658";"E-20";"ETIQ.PAPEL TABLA SEÑALES ESP.";5,000000000;0,700000000;0,000000000;0,700000000;0,000000000;3,500000000;0,00000000;0,00000000;5,000000000;
"ALM";"si";"CA150658";"E-20";"ETIQ.PAPEL TABLA SEÑALES ESP.";24,000000000;0,700000000;0,000000000;0,700000000;0,000000000;16,800000000;0,00000000;0,00000000;24,000000000;
"003";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";8,000000000;8,850000000;7,020000000;9,360000000;56,160000000;74,880000000;0,00000000;0,00000000;8,000000000;
"007";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";19,000000000;8,850000000;7,018000000;7,222460320;133,342000000;137,226746080;0,00000000;0,00000000;19,000000000;
"010";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";3,000000000;8,850000000;7,229000000;9,360000000;21,687000000;28,080000000;0,00000000;0,00000000;3,000000000;
"011";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";7,000000000;8,850000000;7,017000000;9,360000000;49,119000000;65,520000000;0,00000000;0,00000000;7,000000000;
"015";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-2,000000000;8,850000000;7,022000000;9,360000000;-14,044000000;-18,720000000;0,00000000;0,00000000;-2,000000000;
"018";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";10,000000000;8,850000000;7,840000000;7,840000000;78,400000000;78,400000000;0,00000000;0,00000000;10,000000000;
"019";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";11,000000000;8,850000000;9,358900000;8,774000000;102,947900000;96,514000000;0,00000000;0,00000000;11,000000000;
"023";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";10,000000000;8,850000000;7,019000000;7,365814810;70,190000000;73,658148100;0,00000000;0,00000000;10,000000000;
"025";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-4,000000000;8,850000000;7,018000000;7,018000000;-28,072000000;-28,072000000;5,00000000;0,00000000;1,000000000;
"026";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-6,000000000;8,850000000;7,000000000;7,048750000;-42,000000000;-42,292500000;0,00000000;0,00000000;-6,000000000;
"028";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";43,000000000;8,850000000;9,354800000;7,907404250;402,256400000;340,018382750;0,00000000;0,00000000;43,000000000;
"030";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";26,000000000;8,850000000;9,358900000;8,587857140;243,331400000;223,284285640;10,00000000;0,00000000;36,000000000;
"032";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";5,000000000;8,850000000;7,020000000;8,190000000;35,100000000;40,950000000;0,00000000;0,00000000;5,000000000;
"122";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";6,000000000;8,850000000;8,850000000;7,018268000;53,100000000;42,109608000;0,00000000;0,00000000;6,000000000;
"123";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-5,000000000;8,850000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-5,000000000;
"202";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";4,000000000;8,850000000;7,020000000;9,360000000;28,080000000;37,440000000;0,00000000;0,00000000;4,000000000;
"223";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-1,000000000;8,850000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-25,000000000;8,850000000;9,358900000;9,358900000;-233,972500000;-233,972500000;30,00000000;185,00000000;-180,000000000;
"T15";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";-20,000000000;8,850000000;7,022000000;0,000000000;-140,440000000;0,000000000;0,00000000;0,00000000;-20,000000000;
"TES";"si";"CA150664";"E-205";"KH-SACO VACIO BALSAS 4-6PL.";30,000000000;8,850000000;9,354800000;8,409000000;280,644000000;252,270000000;0,00000000;0,00000000;30,000000000;
"003";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";10,000000000;7,840000000;7,000000000;8,660000000;70,000000000;86,600000000;0,00000000;0,00000000;10,000000000;
"010";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";7,000000000;7,840000000;7,000000000;8,660000000;49,000000000;60,620000000;0,00000000;0,00000000;7,000000000;
"015";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";22,000000000;7,840000000;7,018000000;8,660000000;154,396000000;190,520000000;0,00000000;0,00000000;22,000000000;
"018";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";5,000000000;7,840000000;0,000000000;8,660000000;0,000000000;43,300000000;0,00000000;0,00000000;5,000000000;
"019";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";27,000000000;7,840000000;0,000000000;7,010779000;0,000000000;189,291033000;0,00000000;0,00000000;27,000000000;
"023";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";21,000000000;7,840000000;7,000000000;8,660000000;147,000000000;181,860000000;0,00000000;0,00000000;21,000000000;
"025";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";8,000000000;7,840000000;7,010000000;7,628750000;56,080000000;61,030000000;5,00000000;0,00000000;13,000000000;
"026";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";1,000000000;7,840000000;7,000000000;7,010779000;7,000000000;7,010779000;0,00000000;0,00000000;1,000000000;
"028";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";27,000000000;7,840000000;10,054800000;8,603440860;271,479600000;232,292903220;0,00000000;0,00000000;27,000000000;
"030";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";12,000000000;7,840000000;10,054800000;7,812000000;120,657600000;93,744000000;0,00000000;0,00000000;12,000000000;
"032";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";6,000000000;7,840000000;7,010000000;7,285000000;42,060000000;43,710000000;0,00000000;0,00000000;6,000000000;
"122";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";6,000000000;7,840000000;7,840000000;7,010779000;47,040000000;42,064674000;0,00000000;0,00000000;6,000000000;
"202";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";3,000000000;7,840000000;7,010000000;7,010000000;21,030000000;21,030000000;0,00000000;0,00000000;3,000000000;
"223";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";-1,000000000;7,840000000;0,000000000;0,000000000;0,000000000;0,000000000;0,00000000;0,00000000;-1,000000000;
"ALM";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";-45,000000000;7,840000000;10,054800000;8,656195760;-452,466000000;-389,528809200;30,00000000;6,00000000;-21,000000000;
"T15";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";-20,000000000;7,840000000;7,018000000;0,000000000;-140,360000000;0,000000000;0,00000000;0,00000000;-20,000000000;
"TES";"si";"CA150665";"E-206";"KH-SACO VACIO BALSAS 8-12PL.";30,000000000;7,840000000;10,054800000;8,656333330;301,644000000;259,689999900;0,00000000;0,00000000;30,000000000;
"ALM";"si";"CA150666";"E-207";"TAPON GOMA DISPARO BALSA";102,000000000;1,080000000;1,117100000;1,116372550;113,944200000;113,870000100;0,00000000;0,00000000;102,000000000;
"ALM";"si";"CA150682";"E-224";"REFLECTOR DE RADAR VELEROS-2";-4,000000000;14,990000000;29,060000000;29,060000000;-116,240000000;-116,240000000;0,00000000;0,00000000;-4,000000000;
