"Almacén";"Artíc. stockable";"Cod. Artículo";"Cod. Antiguo";"Descrip. Producto";"Stock unidades";"Coste teórico Euros";"P.U.C.";"P.M.P.";"Invent. PUC";"Invent. PMP";"Unids Pdte entrar";"Unids Pdte salir";"Disponible (St+pE-pS)";
"025";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";62,000000000;10,700000000;11,800000000;11,797036790;731,600000000;731,416280980;72,00000000;0,00000000;134,000000000;
"026";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";-91,000000000;10,700000000;10,700000000;10,700000000;-973,700000000;-973,700000000;0,00000000;0,00000000;-91,000000000;
"028";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";208,000000000;10,700000000;11,800000000;11,297297400;2454,400000000;2349,837859200;40,00000000;30,00000000;218,000000000;
"030";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";53,000000000;10,700000000;11,800000000;11,752885950;625,400000000;622,902955350;0,00000000;40,00000000;13,000000000;
"032";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";23,000000000;10,700000000;11,800000000;11,768070180;271,400000000;270,665614140;90,00000000;0,00000000;113,000000000;
"122";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";30,000000000;10,700000000;11,800000000;11,414035090;354,000000000;342,421052700;0,00000000;0,00000000;30,000000000;
"123";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";-26,000000000;10,700000000;11,350000000;10,700000000;-295,100000000;-278,200000000;0,00000000;0,00000000;-26,000000000;
"202";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";91,000000000;10,700000000;11,800000000;11,775863270;1073,800000000;1071,603557570;0,00000000;100,00000000;-9,000000000;
"223";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";-20,000000000;10,700000000;11,350000000;11,345000000;-227,000000000;-226,900000000;0,00000000;4,00000000;-24,000000000;
"600";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";20,000000000;10,700000000;11,350000000;11,350000000;227,000000000;227,000000000;0,00000000;0,00000000;20,000000000;
"ALM";"si";"CA030008";"E-33";"PIROTECNIA: COHETE SEÑALES CON PARACAIDAS";779,000000000;10,700000000;11,800000000;11,758570930;9192,200000000;9159,926754470;276,00000000;661,00000000;394,000000000;
"003";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";17,000000000;3,310000000;3,650000000;3,650000000;62,050000000;62,050000000;0,00000000;30,00000000;-13,000000000;
"007";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";42,000000000;3,310000000;3,650000000;3,650000000;153,300000000;153,300000000;90,00000000;0,00000000;132,000000000;
"010";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";87,000000000;3,310000000;3,650000000;3,566018590;317,550000000;310,243617330;75,00000000;0,00000000;162,000000000;
"011";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";9,000000000;3,310000000;9,000000000;8,203559230;81,000000000;73,832033070;0,00000000;0,00000000;9,000000000;
"018";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";98,000000000;3,310000000;3,650000000;3,650000000;357,700000000;357,700000000;160,00000000;21,00000000;237,000000000;
"019";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";85,000000000;3,310000000;3,650000000;3,643276270;310,250000000;309,678482950;0,00000000;0,00000000;85,000000000;
"023";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";90,000000000;3,310000000;3,650000000;3,648045180;328,500000000;328,324066200;30,00000000;0,00000000;120,000000000;
"025";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";64,000000000;3,310000000;3,650000000;3,650000000;233,600000000;233,600000000;156,00000000;0,00000000;220,000000000;
"026";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";-136,000000000;3,310000000;3,310000000;3,890000000;-450,160000000;-529,040000000;0,00000000;0,00000000;-136,000000000;
"028";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";294,000000000;3,310000000;3,650000000;3,502521470;1073,100000000;1029,741312180;60,00000000;30,00000000;324,000000000;
"030";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";91,000000000;3,310000000;3,650000000;3,659612090;332,150000000;333,024700190;0,00000000;60,00000000;31,000000000;
"032";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";31,000000000;3,310000000;3,650000000;3,678235290;113,150000000;114,025293990;60,00000000;0,00000000;91,000000000;
"122";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";31,000000000;3,310000000;3,650000000;3,609813950;113,150000000;111,904232450;0,00000000;0,00000000;31,000000000;
"123";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";-40,000000000;3,310000000;3,510000000;3,510000000;-140,400000000;-140,400000000;0,00000000;0,00000000;-40,000000000;
"202";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";114,000000000;3,310000000;3,650000000;3,652386320;416,100000000;416,372040480;0,00000000;120,00000000;-6,000000000;
"223";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";-31,000000000;3,310000000;3,510000000;3,510000000;-108,810000000;-108,810000000;0,00000000;6,00000000;-37,000000000;
"600";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";30,000000000;3,310000000;3,510000000;3,510000000;105,300000000;105,300000000;0,00000000;0,00000000;30,000000000;
"ALM";"si";"CA030009";"E-34";"PIROTECNIA: BENGALA DE SEÑALES";1159,000000000;3,310000000;3,650000000;3,706266190;4230,350000000;4295,562514210;606,00000000;855,00000000;910,000000000;
"003";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";8,000000000;11,650000000;12,850000000;12,872875200;102,800000000;102,983001600;5,00000000;10,00000000;3,000000000;
"007";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";19,000000000;11,650000000;12,850000000;12,850000000;244,150000000;244,150000000;30,00000000;0,00000000;49,000000000;
"010";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";22,000000000;11,650000000;12,850000000;12,623023680;282,700000000;277,706520960;25,00000000;0,00000000;47,000000000;
"011";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";18,000000000;11,650000000;30,610000000;28,802270250;550,980000000;518,440864500;0,00000000;0,00000000;18,000000000;
"015";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";1,000000000;11,650000000;12,850000000;12,850000000;12,850000000;12,850000000;40,00000000;0,00000000;41,000000000;
"018";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";111,000000000;11,650000000;12,850000000;12,848847450;1426,350000000;1426,222066950;40,00000000;3,00000000;148,000000000;
"019";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";28,000000000;11,650000000;12,850000000;12,790000000;359,800000000;358,120000000;0,00000000;0,00000000;28,000000000;
"023";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";36,000000000;11,650000000;12,850000000;12,838471760;462,600000000;462,184983360;10,00000000;0,00000000;46,000000000;
"025";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";18,000000000;11,650000000;12,850000000;12,923082700;231,300000000;232,615488600;48,00000000;0,00000000;66,000000000;
"026";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";-42,000000000;11,650000000;11,650000000;13,390000000;-489,300000000;-562,380000000;0,00000000;0,00000000;-42,000000000;
"028";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";108,000000000;11,650000000;12,850000000;12,316657790;1387,800000000;1330,199041320;20,00000000;17,00000000;111,000000000;
"030";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";21,000000000;11,650000000;12,850000000;12,850617520;269,850000000;269,862967920;0,00000000;20,00000000;1,000000000;
"032";"si";"CA030010";"E-48";"PIROTECNIA: SEÑAL FUMIFERA FLOTANTE";27,000000000;11,650000000;12,850000000;12,898671330;346,950000000;348,264125910;18,00000000;0,00000000;45,000000000;
